관측소,주소,경도,위도,조사년도,암반층관측정수위,암반층관측정표고,암반층관측정심도,충적층관측정수위,충적층관측정표고,충적층관측정심도
광주유덕,광주 서구 유촌동 25-1,126.8574485,35.16561127,2016,16.27,19.65,3.38,16.57,19.86,3.29
괴산괴산,충북 괴산군 괴산읍 서부리 175,127.7845425,36.81181517,2016,112.57,114.78,2.21,-,-,-
괴산청천,충북 괴산군 청천면 도원리 539-7,127.7779689,36.67883822,2016,156.4,160.66,4.26,-,-,-
구례토지,전남 구례군 토지면 구산리 119-11,127.5290643,35.19825969,2016,28.68,31.38,2.7,-,-,-
구미고아,경북 구미시 고아읍 횡산리 419,128.276171,36.20124718,2016,50.44,57.213,6.773,-,-,-
구미도개,경북 구미시 도개면 동산리 911,128.3280196,36.3318703,2016,51.82,55.3,3.48,52.01,55.3,3.29
구미원평,경북 구미시 원평동 964-286,128.3359586,36.13307472,2016,33.95,37.95,4,34.14,37.95,3.81
군산서수,전북 군산시 서수면 서수리 771-4,126.8757955,35.98345777,2016,0.94,7.09,6.15,-,-,-
군산임피,전북 군산시 임피면 읍내리 216-1,126.8504723,35.98249089,2016,11.1,15.4,4.3,11.19,15.44,4.25
군위산성,경북 군위군 산성면 화본리 1129-4,128.6917002,36.12231241,2016,130.44,134.87,4.43,-,-,-
군위의흥,경북 군위군 의흥면 읍내리 248-3,128.7180289,36.17246298,2016,119.06,123.56,4.5,118.66,123.51,4.85
군포당정,경기 군포시 당정동 921-1,126.9553278,37.35269384,2016,41.19,47.78,6.59,-,-,-
금산금산,충남 금산군 금산읍 신대리 37-2,127.5077237,36.10344847,2016,140.59,144.22,3.63,140.62,144.22,3.6
금산복수,충남 금산군 복수면 곡남리 469,127.3985141,36.16333843,2016,138,142.62,4.62,138.1,142.62,4.52
김제봉남,전북 김제시 봉남면 화봉리 11-3,126.9858607,35.73660436,2016,12.89,15.91,3.02,-,-,-
김제부량,전북 김제시 부량면 용성리 468-16,126.8488724,35.74695876,2016,3.21,5.67,2.46,-,-,-
김제용지,전북 김제시 용지면 장신리 994-8,126.9791807,35.86191849,2016,13.49,15.04,1.55,-,-,-
김제죽산,전북 김제시 죽산면 연포리 1041,126.8007711,35.75377774,2016,1.14,4.71,3.57,-,-,-
김천대덕,경북 김천시 대덕면 관기리 372-8,127.9684896,35.91749759,2016,223.31,228.95,5.64,223.72,228.92,5.2
김천부항,경북 김천시 부항면 사등리 515-1,127.9550862,35.99013775,2016,237.18,242.78,5.6,-,-,-
김천지좌,경북 김천시 지좌동 440-128,128.1446474,36.11974662,2016,86.41,91.03,4.62,-,-,-
김포김포,경기 김포시 걸포동 1550-10,126.710169,37.63276774,2016,0.35,6.79,6.44,1.8,6.79,4.99
김포대곶,경기 김포시 대곶면 송마리 602-4,126.5542833,37.66248641,2016,4.01,9.9,5.89,-,-,-
김포양촌,경기 김포시 양촌면 석모리 318-4,126.6534637,37.64745166,2016,50.15,68.17,18.02,-,-,-
김포월곶,경기 김포시 월곶면 군하리 374-6,126.5486808,37.7122393,2016,6.53,18.28,11.75,-,-,-
김포하성,경기 김포시 하성면 전류리 66-1,126.6625211,37.69763927,2016,4.53,11.4,6.87,-,-,-
김해삼정,경남 김해시 삼정동 635-1,128.9002237,35.2336161,2016,2.61,5.33,2.72,-,-,-
김해생림,경남 김해시 생림면 안양리 837-1,128.833983,35.38074404,2016,3.24,9.88,6.64,-,-,-
나주봉황,전남 나주시 봉황면 죽석리 468-9,126.787116,34.96473054,2016,15.69,20.2,4.51,15.66,20.18,4.52
나주삼도,전남 나주시 삼도동 1402-1,126.7308521,35.03854736,2016,4.09,10.24,6.15,4.09,10.24,6.15
