관측소,주소,경도,위도,조사년도,암반층관측정수위,암반층관측정표고,암반층관측정심도,충적층관측정수위,충적층관측정표고,충적층관측정심도
옥천군북,충북 옥천군 군북면 이백리 346-42,127.5344359,36.33008627,2016,90.96,94.58,3.62,-,-,-
옥천이원,충북 옥천군 이원면 강청리 42-2,127.6180852,36.24542499,2016,103.73,111.56,7.83,-,-,-
옥천청산,충북 옥천군 청산면 지전리 25,127.7936257,36.34437278,2016,104.88,110.309,5.429,105,110.311,5.311
옥천청성,충북 옥천군 청성면 묘금리 19-1,127.7259721,36.27825656,2016,137.03,139.98,2.95,136.46,139.98,3.52
완도군외,전남 완도군 군외면 삼두리 산1-4,126.6677369,34.343099,2016,139.74,146.87,7.13,-,-,-
완주고산,전북 완주군 고산면 소향리 880-34,127.2605987,35.98862267,2016,68.52,73.62,5.1,-,-,-
완주삼례,전북 완주군 삼례읍 후정리 103-3,127.0678866,35.90398073,2016,9.65,15.6,5.95,9.51,15.57,6.06
완주용진,전북 완주군 용진면 구억리 806-19,127.1576333,35.87563847,2016,23.63,28.79,5.16,23.72,28.83,5.11
완주운주,전북 완주군 운주면 산북리 950,127.3363757,36.09512327,2016,119.86,124.71,4.85,-,-,-
용인남사,경기 용인시 남사면 봉무리 701-60,127.1510029,37.11179363,2016,15.48,20.65,5.17,15.38,20.69,5.31
용인마평,경기 용인시 마평동 716-5,127.2112291,37.23767082,2016,80.02,83.51,3.49,80.17,83.51,3.34
울산달천,울산 북구 달천동 892-131,129.3051216,35.63776691,2016,55.07,57.8,2.73,-,-,-
울산범서,울산 울주군 범서면 사연리 703-87,129.2050049,35.57693836,2016,16.17,23.76,7.59,16.15,23.72,7.57
울산상북,울산 울주군 상북면 궁근정리 1233-1,129.0739256,35.61292084,2016,179.4,198.56,19.16,193.5,198.59,5.09
울산온양,울산 울주군 온양읍 망양리 725-135,129.2911592,35.45977103,2016,9.98,12.32,2.34,10.02,12.34,2.32
울진북면,경북 울진군 북면 주인리 8-1,129.3490026,37.08728977,2016,13.03,18.13,5.1,13.05,18.09,5.04
울진온정,경북 울진군 온정면 소태리 542,129.3489216,36.71866363,2016,106.02,108.53,2.51,-,-,-
울진울진,경북 울진군 울진읍 정림리 607-1,129.3542709,37.02630874,2016,31.63,36,4.37,-,-,-
원주귀래,강원 원주시 귀래면 운남리 1341,127.9119627,37.18182199,2016,135.73,139.73,4,-,-,-
원주명륜,강원 원주시 명륜동 849-1,127.9393219,37.32244273,2016,160.29,163.88,3.59,160,163.86,3.86
원주문막,강원 원주시 문막읍 문막리 1049-1,127.8127807,37.30698826,2016,54.79,59.17,4.38,54.34,59.17,4.83
원주신림,강원 원주시 신림면 심림리 산32,128.0594225,37.24990441,2016,330.77,336.02,5.25,-,-,-
음성대소,충북 음성군 대소면 오류리 70-3,127.4833773,36.97164406,2016,83.84,92.22,8.38,84.31,92.2,7.89
음성생극,충북 음성군 생극면 신양리 852-1,127.6009064,37.04381117,2016,74.74,79.34,4.6,74.71,79.39,4.68
음성원남,충북 음성군 원남면 보천리 산111-1,127.6369008,36.88249806,2016,185.67,190,4.33,-,-,-
음성음성,충북 음성군 음성읍 읍내리 536-6,127.6905564,36.93485989,2016,142.09,145.52,3.43,-,-,-
의령낙서,경남 의령군 낙서면 아근리 449,128.3719057,35.51343161,2016,3.6,16.37,12.77,5.38,16.37,10.99
의령봉수,경남 의령군 봉수면 죽전리 1316-1,128.2664859,35.47223918,2016,58.26,73.55,15.29,69.91,73.56,3.65
의령의령,경남 의령군 의령읍 정암리 75-7,128.3001507,35.31891395,2016,6.79,16.48,9.69,8.98,16.57,7.59
의성금성,경북 의성군 금성면 하리 275-1,128.6807649,36.28977974,2016,96.56,100.221,3.661,-,-,-
의성안계,경북 의성군 안계면 용기리 475-2,128.4401614,36.38377223,2016,48.55,51.42,2.87,-,-,-
의성의성,경북 의성군 의성읍 도서리 114-3,128.6951659,36.34550785,2016,81.4,85.48,4.08,-,-,-
의왕고천,경기 의왕시 고천동 171,126.9701449,37.34432045,2016,54.61,64.927,10.317,-,-,-
의정부신곡,경기 의정부시 신곡1동 615-38,127.0548349,37.73442267,2016,33.55,39.03,5.48,33.57,39,5.43
이천율현,경기 이천시 율현동 179-1,127.4468615,37.25601148,2016,45.91,50.37,4.46,45.97,50.37,4.4
익산낭산,전북 익산시 낭산면 삼담리 589-14,127.0098557,36.07815793,2016,10.02,18.07,8.05,10.29,18.08,7.79
익산용동,전북 익산시 용동면 대조리 815-1,126.9915204,36.10935864,2016,7.45,9.63,2.18,-,-,-
인제기린,강원 인제군 기린면 방동리 1246,128.3813895,37.93995734,2016,364.95,369.04,4.09,-,-,-
인제남면,강원 인제군 남면 신남리 179-2,128.0867555,37.97611178,2016,191.3,199.88,8.58,191.15,199.89,8.74
인제상남,강원 인제군 상남면 상남리 80,128.2579071,37.87323943,2016,392.76,400.52,7.76,-,-,-
인제서화,강원 인제군 서화면 천도리 834-3,128.2061554,38.22152233,2016,285.02,290.96,5.94,-,-,-
인제인제,강원 인제군 인제읍 남북리 475-2,128.1663606,38.055525,2016,191.37,195.91,4.54,191.4,195.91,4.51
인천만수,인천 남동구 만수동 811-4,126.7363249,37.43382441,2016,3.93,7.85,3.92,-,-,-
인천연수,인천 연수구 연수동 594-1,126.678633,37.41508242,2016,2.62,10.03,7.41,3.17,10.03,6.86
인천하점,인천 강화군 하점면 신봉리 617-2,126.4106594,37.77519879,2016,8.06,17.99,9.93,-,-,-
임실덕치,전북 임실군 덕치면 장암리 산 301,127.15121,35.47279926,2016,171.77,196.6,24.83,190.39,196.6,6.21
임실오수,전북 임실군 오수면 오수리 148-5,127.3271465,35.5272308,2016,113.43,116.75,3.32,113.39,116.75,3.36
임실임실,전북 임실군 임실읍 갈마리 290-6,127.2933469,35.62621666,2016,217.69,222.2,4.51,-,-,-
장성남면,전남 장성군 남면 분향리 360-4,126.8122227,35.24749399,2016,33.8,40.99,7.19,33.86,40.99,7.13
장성북이,전남 장성군 북이면 모현리 581-86,126.8011769,35.40232072,2016,81.33,84.893,3.563,81.79,84.877,3.087
장성삼계,전남 장성군 삼계면 부성리 산127-3,126.6205051,35.30075047,2016,227.19,228.48,1.29,-,-,-
장성황룡,전남 장성군 황룡면 와룡리 425-3,126.7553777,35.27674517,2016,32.42,36.13,3.71,32.45,36.13,3.68
장수번암,전북 장수군 번암면 죽산리 589-4,127.497387,35.54797371,2016,307.3,312.36,5.06,-,-,-
장수산서,전북 장수군 산서면 신창리 801,127.3895792,35.58229746,2016,145.46,147.4,1.94,145.32,147.38,2.06
장수장수,전북 장수군 장수읍 송천리 89-1,127.5137458,35.64190841,2016,412.35,416.62,4.27,412.28,416.62,4.34
장흥장흥,전남 장흥군 장흥읍 연산리 170-5,126.8910424,34.6879295,2016,20.44,23.98,3.54,20.45,23.98,3.53
전주만성,전북 전주시 덕진구 만성동 832,127.0722386,35.83015636,2016,30.05,36.31,6.26,30.23,36.31,6.08
정선동면,강원 정선군 동면 석곡리 382,128.7492289,37.33795179,2016,395.01,401.96,6.95,-,-,-
정선임계,강원 정선군 임계면 송계리 산150-20,128.8229727,37.49944085,2016,594.14,592.27,-1.87,-,-,-
정선정선,강원 정선군 정선읍 덕송리 626-2,128.6668342,37.39366161,2016,300.95,347.9,46.95,318.45,347.05,28.6
정읍산외,전북 정읍시 산외면 평사리 755-1,127.0359043,35.62149354,2016,43.44,48,4.56,-,-,-
정읍상평,전북 정읍시 상평동 697-1,126.8228581,35.56297595,2016,23.08,27.14,4.06,-,-,-
정읍신태인,전북 정읍시 신태인읍 구석리 439-30,126.8908366,35.67921423,2016,1.93,6.83,4.9,1.92,6.8,4.88
정읍옹동,전북 정읍시 옹동면 산성리 529-6,126.9714781,35.61845578,2016,17.1,22.97,5.87,17.08,22.92,5.84
제주노형,제주도 제주시 노형동 산9,126.4838128,33.44497442,2016,93.69,271.17,177.48,-,-,-
제주동홍,제주도 서귀포시 동홍동 945,126.5672764,33.2754922,2016,65,187.7,122.7,-,-,-
제주조천,제주도 제주시 조천읍 교래리 11-3,126.724814,33.4312163,2016,93.79,342.6,248.81,-,-,-
제주한경,제주도 제주시 한경면 저지리 2417,126.2708493,33.3222504,2016,57.12,139.81,82.69,-,-,-
제천고암,충북 제천시 고암동 124-4,128.2471497,37.1692407,2016,265.71,267.09,1.38,265.56,267.09,1.53
제천금성,충북 제천시 금성면 중전리 165,128.1864457,37.05746161,2016,148.61,147.14,-1.47,-,-,-
제천청풍,충북 제천시 청풍면 물태리 133,128.1651293,36.99847794,2016,188.85,195.2,6.35,-,-,-
증평증평,충북 증평군 증평읍 덕상리 729,127.6234154,36.74752601,2016,92.72,95.97,3.25,92.91,96.17,3.26
진도의신,전남 진도군 의신면 돈지리 산71-4,126.2794707,34.43230401,2016,5.66,14.75,9.09,-,-,-
진안마령,전북 진안군 마령면 평지 1004-2,127.3706629,35.7344095,2016,276.63,279.65,3.02,-,-,-
진안정천,전북 진안군 정천면 봉학리 547,127.4289214,35.87296746,2016,267.55,276.12,8.57,-,-,-
진주일반성,경남 진주시 일반성면 개암리 473-1,128.2896264,35.16897196,2016,27.06,29.99,2.93,-,-,-
진주초전,경남 진주시 초전동 189-3,128.1221752,35.20457635,2016,15.26,21.53,6.27,15.37,21.53,6.16
진천진천,충북 진천군 진천읍 성석리 133-5,127.4585734,36.85604195,2016,57.46,60.41,2.95,-,-,-
진해자은,경남 창원시 진해구 자은동 856-8,128.7056802,35.14705397,2016,13.97,17.85,3.88,15.49,17.85,2.36
창녕성산,경남 창녕군 성산면 냉천리 859-12,128.4883379,35.63050059,2016,65.97,68.84,2.87,66.02,68.82,2.8
창녕영산,경남 창녕군 영산면 죽사리 1456-41,128.5272646,35.44846269,2016,35.77,39.09,3.32,-,-,-
창녕창녕,경남 창녕군 창녕읍 직교리 204,128.4788213,35.53732976,2016,29.04,32.47,3.43,-,-,-
창원북면,경남 창원시 의창구 북면 마산리 409-288,128.6219324,35.34683457,2016,-2.55,8.02,10.57,-2.09,8.05,10.14
천안북면,충남 천안시 동남구 북면 사담리 산71-1,127.2688765,36.83311104,2016,103.39,106.53,3.14,-,-,-
천안성거,충남 천안시 성거읍 저리 57-26,127.1990639,36.87783855,2016,46,50.33,4.33,46.19,50.38,4.19
천안수신,충남 천안시 수신면 장산리 148-22,127.2966868,36.73066256,2016,48.42,52.09,3.67,48.46,52.1,3.64
철원갈말,강원 철원군 갈말읍 문혜리 888-3,127.3235928,38.18571109,2016,162.34,168.77,6.43,-,-,-
철원철원,강원 철원군 철원읍 율이리 산206-2,127.1635718,38.24374341,2016,142.48,146.08,3.6,-,-,-
청도청도,경북 청도군 청도읍 고수리 1034-22,128.7506774,35.63657711,2016,55.93,63.41,7.48,57.6,63.39,5.79
청송부남,경북 청송군 부남면 감연리 산99,129.0597897,36.35652847,2016,240.27,245.104,4.834,-,-,-
청송진보,경북 청송군 진보면 이촌리 396-1,129.0325843,36.51917254,2016,184.34,192.47,8.13,-,-,-
청송파천,경북 청송군 파천면 관리 512-3,129.0364035,36.46382211,2016,167.4,172.5,5.1,167.7,172.5,4.8
청송현서,경북 청송군 현서면 구산리 509-3,128.89164,36.27424505,2016,316.09,321.69,5.6,-,-,-
청양정산,충남 청양군 정산면 역촌리 601-2,126.9475818,36.41642536,2016,24.58,39.77,15.19,-,-,-
청원가덕,충청북도 청주시 상당구 가덕면 국전리 194-6,127.5073152,36.53262876,2016,74.3,87.59,13.29,74.29,87.62,13.33
청원강내,충청북도 청주시 흥덕구 강내면 다락리 227,127.3605068,36.60588243,2016,36.5,42.66,6.16,36.19,42.62,6.43
청원미원,충청북도 청주시 상당구 미원면 내산리 378,127.657819,36.64138681,2016,228.38,233.47,5.09,-,-,-
청원북일,충청북도 청주시 청원구 내수읍 초정리 358-6,127.605973,36.72240255,2016,100.56,103.89,3.33,-,-,-
청원현도,충청북도 청주시 서원구 현도면 죽암리 474-19,127.4314905,36.52340276,2016,48.37,53.45,5.08,-,-,-
청주내덕,충청북도 청주시 청원구 내덕동 777-5,127.473784,36.65896909,2016,33.92,39.96,6.04,33.89,39.93,6.04
춘천북산,강원 춘천시 북산면 추곡리 108-1,127.889669,38.03024471,2016,213.14,218.42,5.28,-,-,-
춘천서면,강원 춘천시 서면 금산리 산72-1,127.6816956,37.89611584,2016,80.64,84.62,3.98,-,-,-
춘천신동,강원 춘천시 신동면 팔미리 861-1,127.6960697,37.82118836,2016,205.25,211.24,5.99,205.4,211.31,5.91
춘천우두,강원 춘천시 우두동 429-18,127.7380903,37.90374768,2016,70.93,77.53,6.6,70.87,77.53,6.66
충주가금,충북 충주시 가금면 가흥리 582-5,127.855281,37.07748917,2016,51.37,63.09,11.72,51.65,63.04,11.39
충주동량,충북 충주시 동량면 조동리 1370-4,127.9630254,37.02627739,2016,74.45,82.66,8.21,74.38,82.63,8.25
충주수안보,충북 충주시 수안보면 수회리 785-1,127.9668839,36.87028054,2016,148.27,152,3.73,-,-,-
칠곡가산,경북 칠곡군 가산면 천평리 139-2,128.5389219,36.08590732,2016,107.95,113.03,5.08,107.91,113.04,5.13
칠곡왜관,경북 칠곡군 왜관읍 삼청리 1019-21,128.4213026,35.98089601,2016,27.9,31.21,3.31,27.97,31.25,3.28
태백상사미,강원 태백시 상사미동 289,128.9885823,37.28284903,2016,710.15,716.86,6.71,-,-,-
태백황지,강원 태백시 황지동 244-3,128.9860617,37.16374258,2016,684.36,699.08,14.72,-,-,-
태안안면,충남 태안군 안면읍 중장리 392-1,126.3852941,36.48546842,2016,5.83,8.9,3.07,-,-,-
태안원북,충남 태안군 원북면 청산리 산164-1,126.2605797,36.81002965,2016,25.48,30.22,4.74,-,-,-
태안태안,충남 태안군 태안읍 상옥리 1161,126.3112656,36.76317615,2016,18.32,21.35,3.03,-,-,-
통영용남,경남 통영시 용남면 원평리 789-14,128.4610014,34.89025105,2016,-0.22,1.43,1.65,-,-,-
파주맥금,경기 파주시 맥금동 909,126.7310884,37.77066207,2016,5.87,8.48,2.61,5.98,8.46,2.48
파주문산,경기 파주시 문산읍 이천리 449-1,126.8293242,37.86045848,2016,25.03,28.9,3.87,-,-,-
파주법원,경기 파주시 법원읍 대능리 530-10,126.8519379,37.83472443,2016,27.64,31.57,3.93,-,-,-
평창대화,강원 평창군 대화면 대화리 1172-3,128.4575606,37.50125958,2016,413.42,439.87,26.45,-,-,-
평창방림,강원 평창군 방림면 계촌리 산1-15,128.2472179,37.47751154,2016,750.09,756.6,6.51,-,-,-
평창봉평,강원 평창군 봉평면 원길리 129-1,128.369095,37.62471369,2016,560.79,565.16,4.37,560.84,565.2,4.36
평창진부,강원 평창군 진부면 하진부리 1290-1,128.5283847,37.65082241,2016,537.41,540.54,3.13,-,-,-
평창평창,강원 평창군 평창읍 천동리 351,128.3841779,37.33203349,2016,275.45,281.8,6.35,275.27,281.8,6.53
평택안중,경기 평택시 안중면 덕우리 812,126.9180367,37.01144704,2016,13.23,17.54,4.31,13.23,17.56,4.33
평택진위,경기 평택시 진위면 동천리 591-1,127.1006101,37.12467141,2016,43.82,48.99,5.17,-,-,-
평택통복,경기 평택시 통복동 73,127.085455,36.99856999,2016,2.45,9.62,7.17,2.39,9.62,7.23
포천대회산,경기 포천시 영북면 대회산리 452,127.2216036,38.07661585,2016,93.47,116.2,22.73,-,-,-
포천영북,경기 포천시 영북면 야미리 254-3,127.2713767,38.05851398,2016,132.57,138.55,5.98,132.63,138.49,5.86
포천화현,경기 포천시 화현면 명덕리 37-1,127.2802423,37.88598934,2016,145.68,149.93,4.25,-,-,-
포항구룡포,경북 포항시 남구 구룡포읍 석병리 251-14,129.571827,36.0290252,2016,29.29,41.6,12.31,-,-,-
포항기북,경북 포항시 북구 기북면 용기리 271-8,129.1674262,36.1303056,2016,116.3,121.11,4.81,117.33,121.12,3.79
포항동해,경북 포항시 동해면 석리 26,129.476183,35.98699483,2016,76.65,85.81,9.16,-,-,-
포항신광,경북 포항시 북구 신광면 토성리 340-3,129.2629508,36.13016777,2016,76.01,82.38,6.37,-,-,-
포항연일,경북 포항시 남구 연일읍 유강리 195,129.312295,36.00203771,2016,-0.8,5.89,6.69,-0.84,5.89,6.73
포항장흥,경북 포항시 남구 장흥동 1821,129.374772,35.98027584,2016,26.79,28.73,1.94,-,-,-
하남하산곡,경기 하남시 하산곡동 산18-34,127.2313176,37.51186857,2016,73.33,81.93,8.6,-,-,-
하동양보,경남 하동군 양보면 운암리 353-3,127.8455748,35.04943021,2016,26.68,30.12,3.44,-,-,-
하동하동,경남 하동군 하동읍 읍내리 1563-2,127.7406721,35.07235387,2016,0.65,7.66,7.01,0.53,7.66,7.13
하동화개,경남 하동군 화개면 부춘리 1177,127.6651361,35.15654484,2016,11.96,15.64,3.68,11.73,15.63,3.9
함안가야,경남 함안군 가야읍 혈곡리 245-1,128.383798,35.25519459,2016,15.56,20.26,4.7,-,-,-
함안칠원,경남 함안군 칠원면 예곡리 831,128.5291191,35.26948376,2016,36.83,43,6.17,36.86,43,6.14
함양마천,경남 함양군 마천면 가흥리 513-9,127.6630895,35.39637048,2016,287.49,299.74,12.25,287.51,299.78,12.27
함양병곡,경남 함양군 병곡면 송평리 628-3,127.6785102,35.52944583,2016,214.35,218.91,4.56,214.32,218.86,4.54
함양서상,경남 함양군 서상면 상남리 1567-5,127.6664899,35.7224365,2016,735.18,735.59,0.41,-,-,-
함평신광,전남 함평군 신광면 월암리 202,126.4972126,35.1541463,2016,37.83,40.56,2.73,37.74,40.52,2.78
함평월야,전남 함평군 월야면 계림리 622-28,126.6242575,35.20023093,2016,27.46,30.67,3.21,27.48,30.67,3.19
합천삼가,경남 합천군 삼가면 양전리 719-33,128.1386767,35.42132547,2016,94.63,98.77,4.14,-,-,-
합천야로,경남 합천군 야로면 야로리 463-28,128.1709706,35.70678905,2016,103.26,108.01,4.75,-,-,-
합천적중,경남 합천군 적중면 부수리 1071-4,128.2871556,35.55405263,2016,10.51,18.51,8,10.77,18.54,7.77
합천합천,경남 합천군 합천읍 서산리 1301-84,128.149553,35.59003831,2016,43.53,48.05,4.52,43.47,48.05,4.58
해남옥천,전남 해남군 옥천면 신죽리 600,126.642489,34.61021989,2016,8.96,11.19,2.23,-,-,-
해남해남,전남 해남군 해남읍 용정리 산4-3,126.5900645,34.55922752,2016,38.53,48.76,10.23,-,-,-
해남현산,전남 해남군 현산면 구산리 529-10,126.5845736,34.429556,2016,11.17,14.07,2.9,-,-,-
홍성결성,충남 홍성군 결성면 성호리 314-2,126.535957,36.53575306,2016,42.63,46.44,3.81,-,-,-
홍성홍성,충남 홍성군 홍성읍 고암리 560,126.6738797,36.59778231,2016,35.96,50.78,14.82,-,-,-
홍천서면,강원 홍천군 서면 모곡리 산234-4,127.610261,37.67487006,2016,56.34,64.26,7.92,-,-,-
홍천서석,강원 홍천군 서석면 풍암리 1074-1,128.1786421,37.72144641,2016,292.66,299.78,7.12,-,-,-
홍천홍천,강원 홍천군 홍천읍 희망리 421-2,127.8747327,37.68895609,2016,119.28,128.56,9.28,119.33,128.54,9.21
홍천화촌,강원 홍천군 화촌면 군업리 1426-144,128.0013371,37.75258939,2016,170.06,175.4,5.34,-,-,-
화성송산,경기 화성시 송산면 육일리 595-3,126.7218238,37.19891911,2016,18.74,34.82,16.08,30.54,34.82,4.28
화성양감,경기 화성시 양감면 신왕리 815-2,126.9453992,37.08015431,2016,21.9,25.47,3.57,22.82,25.47,2.65
화성우정,경기 화성시 우정읍 조암리 411-2,126.8145725,37.08937672,2016,16.88,26.15,9.27,16.88,26.13,9.25
화성팔탄,경기 화성시 팔탄면 구장리 1029-4,126.9035466,37.16666479,2016,27.44,30.24,2.8,27.45,30.2,2.75
화순남면,전남 화순군 남면 절산리 368-8,127.1210723,35.00054736,2016,110.76,113.14,2.38,-,-,-
화순능주,전남 화순군 능주면 만수리 348-32,126.9530385,35.01679958,2016,40.28,42.77,2.49,40.65,42.8,2.15
화순북면,전남 화순군 북면 원리 97-1,127.1368713,35.19249742,2016,253.27,260.32,7.05,-,-,-
화순이양,전남 화순군 이양면 매정리 79-2,127.0306248,34.8643582,2016,92.48,96.31,3.83,92.49,96.32,3.83
화천간동,강원 화천군 간동면 유촌리 591-1,127.7928195,38.05394648,2016,182.13,187.08,4.95,182.39,187.08,4.69
화천사내,강원 화천군 사내면 사창리 438-4,127.520771,38.07379974,2016,267.35,274.43,7.08,-,-,-
화천상서,강원 화천군 상서면 파포리 173-3,127.6511153,38.16180839,2016,171.74,173.85,2.11,171.54,173.8,2.26
화천화천,강원 화천군 화천읍 풍산리 1381,127.7305082,38.12740749,2016,190.58,198.41,7.83,-,-,-
횡성안흥,강원 횡성군 안흥면 안흥리 57-2,128.1600536,37.41085862,2016,422.78,425.88,3.1,-,-,-
횡성횡성,강원 횡성군 횡성읍 학곡리 458-21,127.9589801,37.50203055,2016,133.31,137.15,3.84,-,-,-
