관리_건축물대장_PK,대장_구분_코드,대장_구분_코드_명,대장_종류_코드,대장_종류_코드_명,대지_위치,도로명_대지_위치,건물_명,시군구_코드,법정동_코드,대지_구분_코드,번,지,특수지_명,블록,로트,외필지_수,새주소_도로_코드,새주소_법정동_코드,새주소_지상지하_코드,새주소_본_번,새주소_부_번,동_명,주_부속_구분_코드,주_부속_구분_코드_명,대지_면적(㎡),건축_면적(㎡),건폐_율(%),연면적(㎡),용적_률_산정_연면적(㎡),용적_률(%),구조_코드,구조_코드_명,기타_구조,주_용도_코드,주_용도_코드_명,기타_용도,지붕_코드,지붕_코드_명,기타_지붕,세대_수(세대),가구_수(가구),높이(m),지상_층_수,지하_층_수,승용_승강기_수,비상용_승강기_수,부속_건축물_수,부속_건축물_면적(㎡),총_동_연면적(㎡),옥내_기계식_대수(대),옥내_기계식_면적(㎡),옥외_기계식_대수(대),옥외_기계식_면적(㎡),옥내_자주식_대수(대),옥내_자주식_면적(㎡),옥외_자주식_대수(대),옥외_자주식_면적(㎡),허가_일,착공_일,사용승인_일,허가번호_년,허가번호_기관_코드,허가번호_기관_코드_명,허가번호_구분_코드,허가번호_구분_코드_명,호_수(호),에너지효율_등급,에너지절감_율,에너지_EPI점수,친환경_건축물_등급,친환경_건축물_인증점수,지능형_건축물_등급,지능형_건축물_인증점수,생성_일자,경도,위도
26200-20063,1,일반,2,일반건축물,부산광역시 영도구 청학동 423-11번지, 부산광역시 영도구 청학서로 6-5,,26200,12000,0,423,11,,,,0,2.62E+11,12001,0,6,5,,0,주건축물,0,33.06,0,33.06,33.06,0,12,블록구조,시멘트블럭조,1000,단독주택,주택,30,슬레이트,스레이트,0,1,0,1,0,0,0,0,0,33.06,0,0,0,0,0,0,0,0,,,1970,,,,,,0,,0,0,,0,,0,20170613,129.0576283,35.09139468
26230-100218998,1,일반,2,일반건축물,부산광역시 부산진구 당감동 887-23번지, 부산광역시 부산진구 당감로34번길 43-7,,26230,10900,0,887,23,,,,0,2.62E+11,10901,0,43,7,,0,주건축물,40,31.25,78.125,62.28,62.28,155.7,12,블록구조,블록구조,1000,단독주택,단독주택,10,(철근)콘크리트,(철근)콘크리트,2,0,6.2,2,0,0,0,0,0,62.28,0,0,0,0,0,0,0,0,,,20150129,2015,3290112,건축과,5701,특정건축물(신축),0,,0,0,,0,,0,20170613,129.0414921,35.16548277
26230-14538,1,일반,2,일반건축물,부산광역시 부산진구 전포동 416번지, 부산광역시 부산진구 동성로46번가길 27-7,,26230,10200,0,416,0,,,,0,2.62E+11,10201,0,27,7,,0,주건축물,0,41.32,0,41.32,41.32,0,12,블록구조,세멘브럭조,1000,단독주택,주택,10,(철근)콘크리트,스라브,0,1,0,1,0,0,0,0,0,41.32,0,0,0,0,0,0,0,0,,,19690908,,,,,,0,,0,0,,0,,0,20170613,129.0707046,35.15448564
26260-15194,1,일반,2,일반건축물,부산광역시 동래구 온천동 1410-44번지, 부산광역시 동래구 아시아드대로208번가길 16-5,,26260,10800,0,1410,44,,,,0,2.63E+11,10801,0,16,5,,0,주건축물,0,87.66,0,158.24,158.24,0,11,벽돌구조,벽돌조,1000,단독주택,다세대주택,10,(철근)콘크리트,슬라브,0,4,0,2,0,0,0,0,0,158.24,0,0,0,0,0,0,0,0,19860215,,19860418,,,,,,0,,0,0,,0,,0,20170613,129.0674813,35.20299805
26260-20750,1,일반,2,일반건축물,부산광역시 동래구 칠산동 59-3번지, 부산광역시 동래구 동래로179번길 88-3,,26260,10300,0,59,3,,,,0,2.63E+11,10301,0,88,3,,0,주건축물,0,79.4,0,148.455,148.46,0,11,벽돌구조,벽돌조,1000,단독주택,주택,10,(철근)콘크리트,슬라브,4,4,0,2,0,0,0,0,0,148.455,0,0,0,0,0,0,0,0,19910410,,19910813,,,,,,0,,0,0,,0,,0,20170613,129.0924003,35.2066999
26290-23044,1,일반,2,일반건축물,부산광역시 남구 문현동 239-75번지, 부산광역시 남구 수영로49번가길 2,85특-233-1,26290,10900,0,239,75,,,,0,2.63E+11,10901,0,2,0,,0,주건축물,0,34.4,0,61.62,61.62,0,12,블록구조,블럭조,3000,제1종근린생활시설,"근린생활시설, 단독주택",10,(철근)콘크리트,스라브,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,19850330,,,,,,0,,0,0,,0,,0,20170613,129.0735414,35.13653816
26290-24345,1,일반,2,일반건축물,부산광역시 남구 문현동 426-82번지, 부산광역시 남구 고동골로59번길 48-12,,26290,10900,0,426,82,,,,0,2.63E+11,10901,0,48,12,1,0,주건축물,264,155.87,59.041666,271.39,271.39,102.8,31,일반철골구조,경량철골조,1000,단독주택,단독주택,90,기타지붕,기타지붕,0,1,7.3,2,0,0,0,0,0,271.39,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20170613,129.0687995,35.14176647
26320-4317,1,일반,2,일반건축물,부산광역시 북구 만덕동 295-29번지, 부산광역시 북구 만덕2로11번길 7,,26320,10300,0,295,29,,,,0,2.63E+11,10301,0,7,0,,0,주건축물,0,71.11,0,125.53,108.27,0,12,블록구조,브록,1000,단독주택,단독주택,10,(철근)콘크리트,스라브,0,1,0,2,1,0,0,0,0,125.53,0,0,0,0,0,0,0,0,19790215,,19791228,,,,,,0,,0,0,,0,,0,20170613,129.0369468,35.21232412
26380-100226920,1,일반,2,일반건축물,부산광역시 사하구 다대동 1160-12번지, 부산광역시 사하구 다대로 532-1,BUSAN DADAE MCDRIVE,26380,10600,0,1160,12,,,,1,2.64E+11,10605,0,532,1,,0,주건축물,992,281.56,28.38,458.61,458.61,46.23,31,일반철골구조,일반철골구조,4000,제2종근린생활시설,제2종근린생활시설,10,(철근)콘크리트,(철근)콘크리트,0,0,9.15,2,0,0,0,0,0,458.61,0,0,0,0,0,0,3,37.5,20141204,20150819,20151203,2014,3340111,건축과,1101,신축허가,0,,0,0,,0,,0,20170613,128.9715153,35.05875674
26380-11754,1,일반,2,일반건축물,부산광역시 사하구 당리동 88-5번지, 부산광역시 사하구 승학로71번안길 30,,26380,10200,0,88,5,,,,0,2.64E+11,10201,0,30,0,,0,주건축물,173,102.02,58.97,293.84,0,170.37,21,철근콘크리트구조,"철근콘크리트조, 조적조",1000,단독주택,"근린생활시설, 주택",10,(철근)콘크리트,스라브,0,1,10.2,3,1,0,0,0,0,293.84,0,0,0,0,0,0,0,0,19920328,19920408,19920727,,,,,,0,,0,0,,0,,0,20170613,128.9764053,35.10600158
26410-13018,1,일반,2,일반건축물,부산광역시 금정구 서동 302-241번지, 부산광역시 금정구 서동시장길 42-11,,26410,11000,0,302,241,,,,0,2.64E+11,11001,0,42,11,,0,주건축물,46,41.04,89.22,149.02,149.02,323.96,21,철근콘크리트구조,"철근콘크리트조, 벽돌조",1000,단독주택,단독주택(4가구),10,(철근)콘크리트,슬라브,0,4,11.9,4,0,0,0,0,0,149.02,0,0,0,0,0,0,0,0,19930819,19930903,19931020,,,,,,0,,0,0,,0,,0,20170613,129.1006509,35.21623173
26410-22011,1,일반,2,일반건축물,부산광역시 금정구 남산동 996-18번지, 부산광역시 금정구 남산로37번길 47-3,,26410,10400,0,996,18,,,,0,2.64E+11,10401,0,47,3,,0,주건축물,0,77.61,0,136.09,136.09,0,11,벽돌구조,벽돌조,1000,단독주택,주택,10,(철근)콘크리트,슬라브,0,1,0,2,0,0,0,0,0,136.09,0,0,0,0,0,0,0,0,19871002,,19880203,,,,,,0,,0,0,,0,,0,20170613,129.0881002,35.26492245
26470-13146,1,일반,2,일반건축물,부산광역시 연제구 연산동 463-25번지, 부산광역시 연제구 연안로 10,,26470,10200,0,463,25,,,,0,2.65E+11,10201,0,10,0,,0,주건축물,0,40,0,40,40,0,11,벽돌구조,조적조(벽돌),3000,제1종근린생활시설,근린생활시설,10,(철근)콘크리트,평스라브,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19891227,,19900529,,,,,,0,,0,0,,0,,0,20170613,129.1073867,35.18866261
26470-19105,1,일반,2,일반건축물,부산광역시 연제구 거제동 585-11번지, 부산광역시 연제구 거제대로 144,,26470,10100,0,585,11,,,,1,2.65E+11,10101,0,144,0,,0,주건축물,397,151.44,38.15,297.33,297.33,74.89,31,일반철골구조,일반철골조,4000,제2종근린생활시설,제2종근린생활시설,90,기타지붕,판넬,0,0,10.3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,23,20020826,20020829,20021204,,,,,,0,,0,0,,0,,0,20170613,129.0698975,35.18127345
26710-100249301,1,일반,2,일반건축물,부산광역시 기장군 장안읍 장안리 343-6번지, 부산광역시 기장군 장안읍 하장안1길 17,,26710,25325,0,343,6,,,,0,2.67E+11,25301,0,17,0,주1,0,주건축물,654,117.63,17.99,146.42,146.42,22.39,21,철근콘크리트구조,철근콘크리트구조,1000,단독주택,단독주택,10,(철근)콘크리트,평슬래브,0,1,8.6,2,0,0,0,0,0,146.42,0,0,0,0,0,0,1,11.5,20150604,20150610,20161111,2015,3400040,건축과,1101,신축허가,0,,0,0,,0,,0,20170613,129.249861,35.36477645
26710-4963,1,일반,2,일반건축물,부산광역시 기장군 기장읍 석산리 9-8번지, 부산광역시 기장군 기장읍 기장대로 191-1,,26710,25031,0,9,8,,,,0,2.67E+11,25001,0,191,1,,0,주건축물,162,94.8,58.52,189.6,94.8,58.52,11,벽돌구조,조적조,1000,단독주택,주택,10,(철근)콘크리트,스라브,0,1,5.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19930113,19930424,19930906,,,,,,0,,0,0,,0,,0,20170613,129.2091936,35.21352588
26260-6304,1,일반,2,일반건축물,부산광역시 동래구 칠산동 166-1번지, 부산광역시 동래구 동래로182번가길 4,,26260,10300,0,166,1,,,,0,2.63E+11,10301,0,4,0,,0,주건축물,0,56.2,0,56.2,56.2,0,51,일반목구조,목구조,1000,단독주택,단독주택,90,기타지붕,초가,0,1,0,1,0,0,0,0,0,56.2,0,0,0,0,0,0,0,0,,,19360401,,,,,,0,,0,0,,0,,0,20170614,129.0903219,35.2027362
26320-10209,1,일반,2,일반건축물,부산광역시 북구 덕천동 801-1번지, 부산광역시 북구 덕천로38번길 31,,26320,10400,0,801,1,,,,0,2.63E+11,10401,0,31,0,,0,주건축물,0,85.04,0,415.48,340.16,0,21,철근콘크리트구조,철근콘크리트조,4000,제2종근린생활시설,"근린생활시설, 단독주택",10,(철근)콘크리트,스라브,0,1,0,4,1,0,0,0,0,415.48,0,0,0,0,0,0,0,0,19910418,,19911106,,,,,,0,,0,0,,0,,0,20170614,129.0101319,35.20692094
26380-11447,1,일반,2,일반건축물,부산광역시 사하구 당리동 26-4번지, 부산광역시 사하구 승학로71번안길 113,,26380,10200,0,26,4,,,,0,2.64E+11,10201,0,113,0,,0,주건축물,164,0,50.97,83.64,0,50.97,12,블록구조,브럭조,1000,단독주택,주택,10,(철근)콘크리트,스라브,0,1,4.2,1,0,0,0,0,0,83.64,0,0,0,0,0,0,0,0,19790428,,19790526,,,,,,0,,0,0,,0,,0,20170614,128.9786622,35.10878266
26380-11474,1,일반,2,일반건축물,부산광역시 사하구 당리동 26-32번지, 부산광역시 사하구 승학로71번안길 116,,26380,10200,0,26,32,,,,0,2.64E+11,10201,0,116,0,,0,주건축물,160,93.29,58.31,175.56,0,109.73,11,벽돌구조,조적조,1000,단독주택,단독주택,10,(철근)콘크리트,스라브,0,1,6.7,2,0,0,0,0,0,175.56,0,0,0,0,0,0,0,0,19830528,,19830711,,,,,,0,,0,0,,0,,0,20170614,128.9789067,35.10872817
26380-11605,1,일반,2,일반건축물,부산광역시 사하구 당리동 60-52번지, 부산광역시 사하구 승학로71번안길 90,,26380,10200,0,60,52,,,,0,2.64E+11,10201,0,90,0,,0,주건축물,166,77.04,46.4,140.21,0,84.46,11,벽돌구조,조적조,2000,공동주택,다세대주택,10,(철근)콘크리트,스라브,0,4,7.9,2,0,0,0,0,0,140.21,0,0,0,0,0,0,0,0,19890705,19890819,19891223,,,,,,0,,0,0,,0,,0,20170614,128.9783739,35.10792435
