관리_건축물대장_PK,대장_구분_코드,대장_구분_코드_명,대장_종류_코드,대장_종류_코드_명,대지_위치,도로명_대지_위치,건물_명,시군구_코드,법정동_코드,대지_구분_코드,번,지,특수지_명,블록,로트,외필지_수,새주소_도로_코드,새주소_법정동_코드,새주소_지상지하_코드,새주소_본_번,새주소_부_번,동_명,주_부속_구분_코드,주_부속_구분_코드_명,대지_면적(㎡),건축_면적(㎡),건폐_율(%),연면적(㎡),용적_률_산정_연면적(㎡),용적_률(%),구조_코드,구조_코드_명,기타_구조,주_용도_코드,주_용도_코드_명,기타_용도,지붕_코드,지붕_코드_명,기타_지붕,세대_수(세대),가구_수(가구),높이(m),지상_층_수,지하_층_수,승용_승강기_수,비상용_승강기_수,부속_건축물_수,부속_건축물_면적(㎡),총_동_연면적(㎡),옥내_기계식_대수(대),옥내_기계식_면적(㎡),옥외_기계식_대수(대),옥외_기계식_면적(㎡),옥내_자주식_대수(대),옥내_자주식_면적(㎡),옥외_자주식_대수(대),옥외_자주식_면적(㎡),허가_일,착공_일,사용승인_일,허가번호_년,허가번호_기관_코드,허가번호_기관_코드_명,허가번호_구분_코드,허가번호_구분_코드_명,호_수(호),에너지효율_등급,에너지절감_율,에너지_EPI점수,친환경_건축물_등급,친환경_건축물_인증점수,지능형_건축물_등급,지능형_건축물_인증점수,생성_일자,경도,위도
26380-33660,1,일반,2,일반건축물,부산광역시 사하구 감천동 330-5번지, 부산광역시 사하구 원양로350번길 38,,26380,10800,0,330,5,,,,0,2.64E+11,10801,0,38,0,,0,주건축물,0,0,0,59.01,0,0,12,블록구조,블럭조,1000,단독주택,단독주택,10,(철근)콘크리트,스라브,0,1,0,1,0,0,0,0,0,59.01,0,0,0,0,0,0,0,0,19740504,,19740604,,,,,,0,,0,0,,0,,0,20140521,129.0077001,35.08094261
26470-100172244,1,일반,2,일반건축물,부산광역시 연제구 연산동 2138-41번지, 부산광역시 연제구 쌍미천로 27-2,,26470,10200,0,2138,41,,,,0,2.65E+11,10201,0,27,2,,0,주건축물,139.2,32.76,23.53,54,54,38.79,32,경량철골구조,경량철골구조,3000,제1종근린생활시설,"제1종근린생활시설(소매점), 제2종근린생활시설(수리점)",90,기타지붕,샌드위치판넬,0,0,6,2,0,0,0,0,0,54,0,0,0,0,0,0,0,0,20071116,20071208,20080205,2007,3370046,건축과,1201,신축신고,0,,0,0,,0,,0,20140514,129.0907323,35.17575802
26470-6211,1,일반,2,일반건축물,부산광역시 연제구 연산동 333-5번지, 부산광역시 연제구 고분로 48,,26470,10200,0,333,5,,,,0,2.65E+11,10201,0,48,0,,0,주건축물,0,87.27,0,97.7,163.3,0,12,블록구조,조적조(보강블럭),1000,단독주택,"단독주택, 근린생활시설",10,(철근)콘크리트,평스라브,0,1,0,2,0,0,0,0,0,97.7,0,0,0,0,0,0,0,0,19780414,,19780706,,,,,,0,,0,0,,0,,0,20140520,129.0875742,35.18545147
26530-100189952,1,일반,2,일반건축물,부산광역시 사상구 학장동 260-4번지, 부산광역시 사상구 대동로 228,B동,26530,10700,0,260,4,,,,0,2.65E+11,10702,0,228,0,,0,주건축물,0,306.62,0,306.62,306.62,0,31,일반철골구조,철골조,17000,공장,공장,90,기타지붕,샌드위치판넬,0,0,0,1,0,0,0,0,0,306.62,0,0,0,0,0,0,0,0,,20000807,20010309,,,,,,0,,0,0,,0,,0,20140520,128.9853568,35.14764597
26530-14180,1,일반,2,일반건축물,부산광역시 사상구 감전동 130-26번지, 부산광역시 사상구 새벽시장로 69-9,B동,26530,10500,0,130,26,,,,0,2.65E+11,10501,0,69,9,,0,주건축물,235.9,63.24,26.81,123.45,123.45,52.33,12,블록구조,브록조,1000,단독주택,공동주택,10,(철근)콘크리트,슬라브,0,4,7.4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19761005,,19770401,,,,,,0,,0,0,,0,,0,20140514,128.9814914,35.15544642
26530-14183,1,일반,2,일반건축물,부산광역시 사상구 감전동 130-27번지, 부산광역시 사상구 새벽시장로 71,,26530,10500,0,130,27,,,,0,2.65E+11,10501,0,71,0,,0,주건축물,0,67.77,0,67.77,67.77,0,12,블록구조,브록조,1000,단독주택,"주택, 점포",10,(철근)콘크리트,슬라브,0,1,0,1,0,0,0,0,0,67.77,0,0,0,0,0,0,0,0,19950624,,19950629,,,,,,0,,0,0,,0,,0,20140514,128.9816917,35.15515378
26530-14186,1,일반,2,일반건축물,부산광역시 사상구 감전동 130-27번지, 부산광역시 사상구 새벽시장로 71-4,,26530,10500,0,130,27,,,,0,2.65E+11,10501,0,71,4,,0,주건축물,0,53.55,0,53.55,53.55,0,12,블록구조,평브록조,1000,단독주택,주택,10,(철근)콘크리트,슬라브,0,1,0,1,0,0,0,0,0,53.55,0,0,0,0,0,0,0,0,19760315,,19760430,,,,,,0,,0,0,,0,,0,20140514,128.9816917,35.15515378
26530-14596,1,일반,2,일반건축물,부산광역시 사상구 감전동 145-6번지, 부산광역시 사상구 새벽시장로56번가길 50-47,,26530,10500,0,145,6,,,,0,2.65E+11,10501,0,50,47,,0,주건축물,437.54,130.68,29.87,243.08,243.08,55.56,12,블록구조,브록조,1000,단독주택,공동주택,10,(철근)콘크리트,스라브,0,4,7.6,2,0,0,0,0,0,243.08,0,0,0,0,0,0,0,0,19770723,,19771031,,,,,,0,,0,0,,0,,0,20140514,128.9775697,35.15493125
26530-14612,1,일반,2,일반건축물,부산광역시 사상구 감전동 145-15번지, 부산광역시 사상구 새벽시장로46번길 12,,26530,10500,0,145,15,,,,0,2.65E+11,10501,0,12,0,,0,주건축물,0,95.86,0,230.39,205.99,0,12,블록구조,브록조,1000,단독주택,"주택, 점포",10,(철근)콘크리트,슬라브,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19740413,,19740529,,,,,,0,,0,0,,0,,0,20140514,128.9782837,35.15488824
26530-14804,1,일반,2,일반건축물,부산광역시 사상구 감전동 150-20번지, 부산광역시 사상구 새벽로121번길 98-6,A동,26530,10500,0,150,20,,,,0,2.65E+11,10501,0,98,6,,0,주건축물,220.83,64.13,29.04,124.83,124.83,56.53,12,블록구조,브록조,1000,단독주택,주택,10,(철근)콘크리트,슬라브,0,1,7.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19760401,,19760820,,,,,,0,,0,0,,0,,0,20140514,128.9771002,35.1531764
26530-14843,1,일반,2,일반건축물,부산광역시 사상구 감전동 151-3번지, 부산광역시 사상구 새벽로137번길 51,,26530,10500,0,151,3,,,,0,2.65E+11,10501,0,51,0,,0,주건축물,142.5,78.02,54.75,129.49,129.49,90.87,12,블록구조,브록조,4000,제2종근린생활시설,"근린생활시설, 주택",10,(철근)콘크리트,슬라브,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19770122,,19771021,,,,,,0,,0,0,,0,,0,20140514,128.9797772,35.15375731
26530-16388,1,일반,2,일반건축물,부산광역시 사상구 감전동 828번지, 부산광역시 사상구 새벽로121번길 76-34,,26530,10500,0,828,0,,,,0,2.65E+11,10501,0,76,34,,0,주건축물,263,134.9,51.29,265.4,265.4,100.91,11,벽돌구조,벽돌조,1000,단독주택,주택,10,(철근)콘크리트,슬라브,0,1,6.7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19850320,,19850809,,,,,,0,,0,0,,0,,0,20140514,128.9782497,35.15328674
26110-1537,1,일반,2,일반건축물,부산광역시 중구 영주동 467-157번지, 부산광역시 중구 동영로64번길 14-1,,26110,10100,0,467,157,,,,0,2.61E+11,10101,0,14,1,,0,주건축물,93,65.38,70.3,114.48,114.48,123.09,19,기타조적구조,조적조,1000,단독주택,단독주택,10,(철근)콘크리트,평스라브,0,1,7.9,2,0,0,0,0,0,114.48,0,0,0,0,0,0,0,0,19980507,19980528,19980811,,,,,,0,,0,0,,0,,0,20140513,129.0327495,35.11171049
26110-4869,1,일반,2,일반건축물,부산광역시 중구 대청동1가 30-4번지, 부산광역시 중구 복병산길6번길 5-1,,26110,11600,0,30,4,,,,0,2.61E+11,11601,0,5,1,,0,주건축물,0,54.25,0,102.32,102.32,0,51,일반목구조,목와,1000,단독주택,주택,20,기와,,0,1,0,2,0,0,0,0,0,102.32,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20140513,129.0324344,35.10342826
26110-9819,1,일반,2,일반건축물,부산광역시 중구 부평동2가 47-8번지, 부산광역시 중구 보수대로 22,,26110,12400,0,47,8,,,,1,2.61E+11,12404,0,22,0,,0,주건축물,145.4,122.26,84.33,393.43,364.37,250.59,21,철근콘크리트구조,철근콘크리트,3000,제1종근린생활시설,제1종근린생활시설(소매점),10,(철근)콘크리트,스라브,0,0,14.3,3,1,0,0,0,0,393.43,0,0,0,0,0,0,0,0,19740820,,19750110,,,,,,0,,0,0,,0,,0,20140513,129.0251858,35.09889512
26410-11755,1,일반,2,일반건축물,부산광역시 금정구 서동 520-119번지, 부산광역시 금정구 서동로87번길 18,,26410,11000,0,520,119,,,,0,2.64E+11,11001,0,18,0,,0,주건축물,50,44.85,89.7,104.28,104.28,208.56,11,벽돌구조,벽돌조,1000,단독주택,단독주택(3가구),10,(철근)콘크리트,슬라브,0,3,8.5,3,0,0,0,0,0,104.28,0,0,0,0,0,0,0,0,19930713,,19930713,,,,,,0,,0,0,,0,,0,20140515,129.0968219,35.2177131
26200-23204,1,일반,2,일반건축물,부산광역시 영도구 동삼동 718-3번지, 부산광역시 영도구 태종로756번길 26-4,,26200,12100,0,718,3,,,,0,2.62E+11,12101,0,26,4,,0,주건축물,129,76.22,59.08,138.32,138.32,107.22,11,벽돌구조,벽돌,1000,단독주택,단독주택(다가구2가구),10,(철근)콘크리트,슬라브,0,2,7.3,2,0,0,0,0,0,138.32,0,0,0,0,0,0,0,0,19930116,19930326,19930616,,,,,,0,,0,0,,0,,0,20140513,129.0791015,35.06878419
26530-10021,1,일반,2,일반건축물,부산광역시 사상구 괘법동 267-5번지, 부산광역시 사상구 사상로250번길 40,,26530,10400,0,267,5,,,,0,2.65E+11,10401,0,40,0,,0,주건축물,0,89.08,0,89.08,89.08,0,12,블록구조,브록조,1000,단독주택,"주택, 점포",30,슬레이트,스레트,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,19830523,,,,,,0,,0,0,,0,,0,20140515,128.9845008,35.16681909
26140-1569,1,일반,2,일반건축물,부산광역시 서구 동대신동2가 1-168번지, 부산광역시 서구 중앙공원로27번길 15,,26140,10200,0,1,168,,,,0,2.61E+11,10201,0,15,0,,0,주건축물,58.15,47.5,81.69,64.48,64.48,110.89,19,기타조적구조,조적조,1000,단독주택,단독주택,10,(철근)콘크리트,평슬래브,0,1,6.2,2,0,0,0,0,0,64.48,0,0,0,0,0,0,0,0,19980416,19980424,19980701,,,,,,0,,0,0,,0,,0,20140517,129.0247261,35.11593834
26200-100172684,1,일반,2,일반건축물,부산광역시 영도구 봉래동2가 112-13번지, 부산광역시 영도구 대교로46번길 54,,26200,11600,0,112,13,,,,0,2.62E+11,11602,0,54,0,,0,주건축물,152,99.5,65.46,199,199,130.92,31,일반철골구조,그라스울판넬,17000,공장,일반공장,90,기타지붕,그라스울판넬,0,0,10.2,2,0,0,0,0,0,199,0,0,0,0,0,0,0,0,20020705,20040630,20090721,2002,3280051,허가민원과,1101,신축허가,0,,0,0,,0,,0,20140517,129.0431087,35.09533747
26530-10444,1,일반,2,일반건축물,부산광역시 사상구 괘법동 379-8번지, 부산광역시 사상구 광장로97번길 66-5,,26530,10400,0,379,8,,,,0,2.65E+11,10401,0,66,5,,0,주건축물,127.7,69.24,54.22,132.06,132.06,103.41,11,벽돌구조,벽돌조,1000,단독주택,단독주택,10,(철근)콘크리트,슬라브,0,1,6.9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19900420,,19900924,,,,,,0,,0,0,,0,,0,20140515,128.9858035,35.16629193
26530-10446,1,일반,2,일반건축물,부산광역시 사상구 괘법동 379-8번지, 부산광역시 사상구 광장로97번길 66,,26530,10400,0,379,8,,,,0,2.65E+11,10401,0,66,0,,0,주건축물,0,53.55,0,97.52,97.52,0,12,블록구조,브럭조,4000,제2종근린생활시설,"주택,제2종근린생활시설",10,(철근)콘크리트,슬라브,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19790427,,19791004,,,,,,0,,0,0,,0,,0,20140515,128.9858035,35.16629193
26290-15352,1,일반,2,일반건축물,부산광역시 남구 용호동 364-21번지, 부산광역시 남구 이기대공원로12번길 25-1,,26290,10700,0,364,21,,,,0,2.63E+11,10701,0,25,1,,0,주건축물,175.9,104.39,59.55,189.26,189.26,107.6,11,벽돌구조,시멘트벽돌조,1000,단독주택,단독주택(3가구),10,(철근)콘크리트,스라브,3,3,7.7,2,0,0,0,0,0,189.26,0,0,0,0,0,0,0,0,19900912,19900921,19901219,,,,,,0,,0,0,,0,,0,20140521,129.1141446,35.12315549
26290-22523,1,일반,2,일반건축물,부산광역시 남구 문현동 189-37번지, 부산광역시 남구 고동골로18번길 27,미래e덴탈사옥,26290,10900,0,189,37,,,,0,2.63E+11,10901,0,27,0,,0,주건축물,299,177.18,59.26,575.87,575.87,192.6,21,철근콘크리트구조,철근콘크리트구조,4000,제2종근린생활시설,제2종근린생활시설,10,(철근)콘크리트,슬라브,0,0,13.35,4,0,0,0,0,0,575.87,0,0,0,0,0,0,4,46,20061026,20061201,20070516,2006,3310060,건축과,1101,신축허가,0,,0,0,,0,,0,20140521,129.0726468,35.13878939
26530-9758,1,일반,2,일반건축물,부산광역시 사상구 괘법동 244-45번지, 부산광역시 사상구 운산로100번길 24,,26530,10400,0,244,45,,,,0,2.65E+11,10401,0,24,0,B동,0,주건축물,0,33.5,0,67,33.5,0,21,철근콘크리트구조,"조적조, 철근콘크리트조",1000,단독주택,"제2종근린생활시설, 단독주택",10,(철근)콘크리트,슬라브,0,1,0,1,1,0,0,0,0,67,0,0,0,0,0,0,0,0,20020408,20020507,20020806,,,,,,0,,0,0,,0,,0,20140515,128.9867231,35.16682285
26530-9985,1,일반,2,일반건축물,부산광역시 사상구 괘법동 264-6번지, 부산광역시 사상구 사상로250번길 39-3,,26530,10400,0,264,6,,,,1,2.65E+11,10401,0,39,3,,0,주건축물,0,77.16,0,186.18,152.3,0,12,블록구조,보강블록조,1000,단독주택,"주택, 근린생활시설",10,(철근)콘크리트,슬라브,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19800425,,19810822,,,,,,0,,0,0,,0,,0,20140515,128.9843196,35.16705049
26410-24049,1,일반,2,일반건축물,부산광역시 금정구 서동 542-105번지, 부산광역시 금정구 서동로 86,,26410,11000,0,542,105,,,,0,2.64E+11,11002,0,86,0,,0,주건축물,51,45.76,89.73,183.04,183.04,358.9,11,벽돌구조,"철근콘크리트조, 벽돌조",1000,단독주택,"근린생활시설, 단독주택(5가구)",10,(철근)콘크리트,슬라브,0,5,11.95,4,0,0,0,0,0,183.04,0,0,0,0,0,0,0,0,19950120,19950221,19950509,,,,,,0,,0,0,,0,,0,20140513,129.0962811,35.21691352
26320-2270,1,일반,2,일반건축물,부산광역시 북구 화명동 191-2번지, 부산광역시 북구 양달로8번길 8,,26320,10200,0,191,2,,,,0,2.63E+11,10201,0,8,0,,0,주건축물,381.7,225.9,59.18,278.9,278.9,73.07,21,철근콘크리트구조,"철근콘크리트조, 블록조",4000,제2종근린생활시설,근린생활시설,10,(철근)콘크리트,평스라브,0,0,6.9,2,0,0,0,1,7.2,278.9,0,0,0,0,0,0,2,23,19990123,19990127,19990403,,,,,,0,,0,0,,0,,0,20140522,129.0148322,35.24135083
26380-34460,1,일반,2,일반건축물,부산광역시 사하구 감천동 634-61번지, 부산광역시 사하구 감천로73번길 36,부일전자디자인고등하교 부일외국어고등하교,26380,10800,0,634,61,,,,0,2.64E+11,10801,0,36,0,E동(국제문화관동),0,주건축물,29352,1200.99,4.0916802,4301.88,4157.28,14.163532,21,철근콘크리트구조,철근콘크리트조,Z8000,교육연구및복지시설,교육연구시설,10,(철근)콘크리트,슬라브,0,0,10.06,4,1,0,0,0,0,4301.88,0,0,0,0,0,0,0,0,20011005,20011101,20020419,,,,,,0,,0,0,,0,,0,20140517,129.0017409,35.09121839
26470-22010,1,일반,2,일반건축물,부산광역시 연제구 연산동 1876-164번지, 부산광역시 연제구 쌍미천로7번길 61,,26470,10200,0,1876,164,,,,0,2.65E+11,10201,0,61,0,,0,주건축물,53,47.51,89.64,173.21,173.21,327,21,철근콘크리트구조,"철근콘크리트, 조적조",1000,단독주택,단독주택,10,(철근)콘크리트,스라브,0,3,11.9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19950907,19950915,19951215,,,,,,0,,0,0,,0,,0,20140513,129.0893787,35.17566813
26470-9978,1,일반,2,일반건축물,부산광역시 연제구 거제동 40-34번지, 부산광역시 연제구 월드컵대로187번길 59-2,,26470,10100,0,40,34,,,,0,2.65E+11,10101,0,59,2,,0,주건축물,0,72.73,0,125.99,125.99,0,11,벽돌구조,조적조(벽돌),1000,단독주택,단독주택,10,(철근)콘크리트,평스라브,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19740807,,19751028,,,,,,0,,0,0,,0,,0,20140513,129.0747103,35.18547398
26530-17116,1,일반,2,일반건축물,부산광역시 사상구 감전동 115-32번지, 부산광역시 사상구 사상로123번길 8-10,,26530,10500,0,115,32,,,,0,2.65E+11,10501,0,8,10,,0,주건축물,0,49.26,0,49.26,49.26,0,12,블록구조,평브록조,1000,단독주택,주택,30,슬레이트,스레트,0,1,0,1,0,0,0,0,0,49.26,0,0,0,0,0,0,0,0,19731203,,19740207,,,,,,0,,0,0,,0,,0,20140513,128.9885148,35.15715392
26530-2467,1,일반,2,일반건축물,부산광역시 사상구 삼락동 413-12번지, 부산광역시 사상구 낙동대로1258번길 9,,26530,10100,0,413,12,,,,0,2.65E+11,10101,0,9,0,,0,주건축물,0,112.2,0,160.2,160.2,0,12,블록구조,브록조,1000,단독주택,"주택, 점포",10,(철근)콘크리트,슬라브,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19770420,,19770908,,,,,,0,,0,0,,0,,0,20140513,128.9775363,35.17262578
26530-5635,1,일반,2,일반건축물,부산광역시 사상구 모라동 1333-12번지, 부산광역시 사상구 백양대로979번길 43,,26530,10200,0,1333,12,,,,0,2.65E+11,10201,0,43,0,,0,주건축물,175.8,104.01,59.16,194.49,194.49,110.63,11,벽돌구조,벽돌조,1000,단독주택,다세대주택,10,(철근)콘크리트,슬라브,0,2,7.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19890810,,19891226,,,,,,0,,0,0,,0,,0,20140513,128.9909364,35.19365313
26470-13463,1,일반,2,일반건축물,부산광역시 연제구 연산동 367-27번지, 부산광역시 연제구 과정로 282,,26470,10200,0,367,27,,,,0,2.65E+11,10201,0,282,0,,0,주건축물,148.6,88,59.22,297.6,254.4,171.2,21,철근콘크리트구조,철근콘크리트조,4000,제2종근린생활시설,근린생활시설,10,(철근)콘크리트,스라브,0,0,12.45,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19940514,19940829,19941118,,,,,,0,,0,0,,0,,0,20140508,129.0966402,35.18836468
26470-7775,1,일반,2,일반건축물,부산광역시 연제구 연산동 485-28번지, 부산광역시 연제구 고분로254번길 39-1,,26470,10200,0,485,28,,,,0,2.65E+11,10201,0,39,1,,0,주건축물,0,85.87,0,157.23,157.23,0,11,벽돌구조,조적조(벽돌),1000,단독주택,단독주택,10,(철근)콘크리트,평스라브,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19910417,,19910906,,,,,,0,,0,0,,0,,0,20140508,129.1101617,35.1826975
26410-100197152,1,일반,2,일반건축물,부산광역시 금정구 두구동 500번지, 부산광역시 금정구 수내1길 28-4,,26410,10100,0,500,0,,,,0,2.64E+11,10101,0,28,4,,0,주건축물,332.98,190.18,57.11,190.18,190.18,57.11,31,일반철골구조,일반철골구조,3000,제1종근린생활시설,제1종근린생활시설,90,기타지붕,샌드위치판낼,0,0,6.339,1,0,0,0,0,0,190.18,0,0,0,0,0,0,1,11.5,20131119,20140109,20140429,2013,3350064,건축과,1101,신축허가,0,,0,0,,0,,0,20140503,129.1123839,35.29079339
26200-5651,1,일반,2,일반건축물,부산광역시 영도구 남항동3가 29-36번지, 부산광역시 영도구 남항남로11번길 7,,26200,10700,0,29,36,,,,0,2.62E+11,10701,0,7,0,,0,주건축물,0,21.3,0,42.6,42.6,0,12,블록구조,블럭조,1000,단독주택,주택,10,(철근)콘크리트,슬라브,0,1,0,2,0,0,0,0,0,42.6,0,0,0,0,0,0,0,0,,,19850619,,,,,,0,,0,0,,0,,0,20140508,129.0358455,35.08595386
26470-6349,1,일반,2,일반건축물,부산광역시 연제구 연산동 1811-434번지, 부산광역시 연제구 금련로32번길 14,,26470,10200,0,1811,434,,,,0,2.65E+11,10201,0,14,0,,0,주건축물,0,46.28,0,86.38,86.38,0,12,블록구조,블럭조,1000,단독주택,단독주택,10,(철근)콘크리트,콘크리트평스라브,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,19730628,,,,,,0,,0,0,,0,,0,20140426,129.0957894,35.17129197
26530-13305,1,일반,2,일반건축물,부산광역시 사상구 감전동 120-25번지, 부산광역시 사상구 새벽로168번길 51-8,A,26530,10500,0,120,25,,,,0,2.65E+11,10501,0,51,8,,0,주건축물,239.25,46.28,19.34,92.27,92.27,38.57,12,블록구조,"브록조, 벽돌조",1000,단독주택,다세대주택,10,(철근)콘크리트,슬라브,0,4,7.4,2,0,0,0,0,0,92.27,0,0,0,0,0,0,0,0,19721101,,19730512,,,,,,0,,0,0,,0,,0,20140508,128.9862798,35.15595352
26530-100191260,1,일반,2,일반건축물,부산광역시 사상구 감전동 508-23번지, 부산광역시 사상구 낙동대로 877,,26530,10500,0,508,23,,,,0,2.65E+11,10503,0,877,,,1,부속건축물,0,81.4,0,162.8,162.8,0,21,철근콘크리트구조,철근콘크리트구조,17000,공장,공장,10,(철근)콘크리트,스라브,0,0,9.95,2,0,0,0,0,0,162.8,0,0,0,0,0,0,5,58.5,20131014,20131122,20140425,2013,3390085,건축과,1101,신축허가,0,,0,0,,0,,0,20140426,128.9700921,35.13886942
26530-2278,1,일반,2,일반건축물,부산광역시 사상구 삼락동 411-5번지, 부산광역시 사상구 사상로309번길 58-15,,26530,10100,0,411,5,,,,0,2.65E+11,10101,0,58,15,,0,주건축물,0,67.44,0,132.43,132.43,0,12,블록구조,브록조,1000,단독주택,주택,10,(철근)콘크리트,스라브,0,2,0,2,0,0,0,0,0,132.43,0,0,0,0,0,0,0,0,19770708,,19771123,,,,,,0,,0,0,,0,,0,20140426,128.9801146,35.17335876
26530-13421,1,일반,2,일반건축물,부산광역시 사상구 감전동 121-23번지, 부산광역시 사상구 새벽로 170-9,,26530,10500,0,121,23,,,,0,2.65E+11,10502,0,170,9,,0,주건축물,0,70.05,0,115.57,115.57,0,12,블록구조,브록조,1000,단독주택,주택,10,(철근)콘크리트,스라브,0,1,0,2,0,0,0,0,0,115.57,0,0,0,0,0,0,0,0,19750426,,19750820,,,,,,0,,0,0,,0,,0,20140508,128.9838491,35.15637165
26530-2300,1,일반,2,일반건축물,부산광역시 사상구 삼락동 411-12번지, 부산광역시 사상구 사상로309번길 58-6,,26530,10100,0,411,12,,,,0,2.65E+11,10101,0,58,6,,0,주건축물,119.5,64.79,54.22,129.39,129.39,108.28,12,블록구조,브록조,1000,단독주택,공동주택,10,(철근)콘크리트,슬라브,0,2,7.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19770701,,19770910,,,,,,0,,0,0,,0,,0,20140426,128.9803103,35.17284655
26530-2465,1,일반,2,일반건축물,부산광역시 사상구 삼락동 413-12번지, 부산광역시 사상구 낙동대로1264번길 14-4,,26530,10100,0,413,12,,,,0,2.65E+11,10101,0,14,4,,0,주건축물,0,79.34,0,79.34,79.34,0,12,블록구조,브록조,1000,단독주택,주택,10,(철근)콘크리트,슬라브,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19761209,,19771219,,,,,,0,,0,0,,0,,0,20140426,128.9775363,35.17262578
26530-25923,1,일반,2,일반건축물,부산광역시 사상구 엄궁동 243-3번지, 부산광역시 사상구 엄궁북로4번길 68-46,,26530,10800,0,243,3,,,,0,2.65E+11,10801,0,68,46,,0,주건축물,0,66.66,0,111.87,111.87,0,12,블록구조,브록조,1000,단독주택,주택,10,(철근)콘크리트,슬라브,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19830404,,19830624,,,,,,0,,0,0,,0,,0,20140426,128.9719119,35.1265412
26410-15123,1,일반,2,일반건축물,부산광역시 금정구 금성동 554-4번지, 부산광역시 금정구 산성로 449,,26410,11300,0,554,4,,,,0,2.64E+11,11302,0,449,0,,0,주건축물,560,156.11,27.88,248.99,248.99,44.46,21,철근콘크리트구조,철근콘크리트조,4000,제2종근린생활시설,제2종근린생활시설,10,(철근)콘크리트,슬라브,0,0,9.4,2,0,0,0,0,0,248.99,0,0,0,0,0,0,2,23,20000410,20000516,20001128,,,,,,0,,0,0,,0,,0,20140429,129.0562786,35.25063907
26410-8173,1,일반,2,일반건축물,부산광역시 금정구 장전동 425-7번지, 부산광역시 금정구 부산대학로63번길 36,,26410,10800,0,425,7,,,,0,2.64E+11,10801,0,36,0,,0,주건축물,0,68.13,0,121.02,121.02,0,11,벽돌구조,벽돌조,1000,단독주택,주택,10,(철근)콘크리트,슬라브,0,1,0,2,0,0,0,0,0,121.02,0,0,0,0,0,0,0,0,19850314,,19850617,,,,,,0,,0,0,,0,,0,20140429,129.0838548,35.2301795
26530-6522,1,일반,2,일반건축물,부산광역시 사상구 덕포동 127-32번지, 부산광역시 사상구 운산로77번길 8-6,,26530,10300,0,127,32,,,,0,2.65E+11,10301,0,8,6,,0,주건축물,112,65.09,58.12,119.29,119.29,106.51,12,블록구조,브록조,1000,단독주택,주택,10,(철근)콘크리트,슬라브,0,1,7.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19740316,,19740913,,,,,,0,,0,0,,0,,0,20140503,128.9850042,35.16781391
26530-9784,1,일반,2,일반건축물,부산광역시 사상구 괘법동 246-6번지, 부산광역시 사상구 사상로250번길 77,,26530,10400,0,246,6,,,,0,2.65E+11,10401,0,77,0,,0,주건축물,86,49.45,57.5,97.9,97.9,113.84,12,블록구조,브록조,3000,제1종근린생활시설,"근린생활시설, 주택",10,(철근)콘크리트,슬라브,0,1,7.4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,19691015,,,,,,0,,0,0,,0,,0,20140503,128.9864837,35.16638031
26410-11627,1,일반,2,일반건축물,부산광역시 금정구 두구동 232-2번지, 부산광역시 금정구 두구중리1길 6,,26410,10100,0,232,2,,,,0,2.64E+11,10101,0,6,0,,0,주건축물,517,132.78,25.68,246.1,246.1,47.6,19,기타조적구조,조적조,1000,단독주택,단독주택외 1,10,(철근)콘크리트,슬라브,0,0,7.7,2,0,0,0,0,0,246.1,0,0,0,0,0,0,2,23,19980603,19980600,19981013,,,,,,0,,0,0,,0,,0,20140508,129.1121628,35.29586675
26530-2767,1,일반,2,일반건축물,부산광역시 사상구 삼락동 417-17번지, 부산광역시 사상구 사상로277번길 38-1,,26530,10100,0,417,17,,,,0,2.65E+11,10101,0,38,1,,0,주건축물,0,92.96,0,148.16,148.16,0,12,블록구조,보강블록조,1000,단독주택,주택,10,(철근)콘크리트,슬라브,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19760319,,19760920,,,,,,0,,0,0,,0,,0,20140426,128.9803888,35.1701325
